Top 100 Rank,Name
1,Mike Trout
2,Jose Altuve
3,Bryce Harper
4,Joey Votto
5,Giancarlo Stanton
6,Clayton Kershaw
7,Nolan Arenado
8,Kris Bryant
9,Josh Donaldson
10,Carlos Correa
11,Max Scherzer
12,Corey Kluber
13,Paul Goldschmidt
14,Freddie Freeman
15,Aaron Judge
16,Charlie Blackmon
17,Francisco Lindor
18,Corey Seager
19,Mookie Betts
20,Manny Machado
21,Chris Sale
22,Jose Ramirez
23,Anthony Rizzo
24,George Springer
25,J.D. Martinez
26,Gary Sanchez
27,Buster Posey
28,Stephen Strasburg
29,Justin Verlander
30,Cody Bellinger
31,Justin Turner
32,Marcell Ozuna
33,Justin Upton
34,Daniel Murphy
35,Anthony Rendon
36,Brian Dozier
37,Robinson Cano
38,Jose Abreu
39,Kenley Jansen
40,Madison Bumgarner
41,Edwin Encarnacion
42,Andrew Miller
43,Luis Severino
44,Craig Kimbrel
45,Yoenis Cespedes
46,Christian Yelich
47,Trea Turner
48,Nelson Cruz
49,Noah Syndergaard
50,Carlos Carrasco
51,Zack Greinke
52,Jacob deGrom
53,Jonathan Schoop
54,Eric Hosmer
55,Adrian Beltre
56,Andrelton Simmons
57,Alex Bregman
58,Willson Contreras
59,Tommy Pham
60,Carlos Santana
61,Lorenzo Cain
62,Matt Carpenter
63,Andrew McCutchen
64,Dallas Keuchel
65,Aroldis Chapman
66,Kyle Hendricks
67,Yu Darvish
68,Byron Buxton
69,Khris Davis
70,Josh Reddick
71,Miguel Cabrera
72,Jake Arrieta
73,Carlos Martinez
74,Didi Gregorius
75,Ryan Zimmerman
76,Marwin Gonzalez
77,Ryan Braun
78,Andrew Benintendi
79,Michael Conforto
80,Adam Eaton
81,D.J. LeMahieu
82,J.T. Realmuto
83,Corey Knebel
84,Wade Davis
85,Elvis Andrus
86,Chris Taylor
87,Kyle Seager
88,Jean Segura
89,Zack Cozart
90,Avisail Garcia
91,Jay Bruce
92,Justin Smoak
93,Brett Gardner
94,Yasiel Puig
95,Kyle Schwarber
96,Marcus Stroman
97,James Paxton
98,Robbie Ray
99,Chad Green
100,Shohei Ohtani
